approx_price_EUR,OS,weight_g,weight_oz,GPS_new,primary_cam_MP,secondary_cam_MP,GPU_new,battery_mah,battery_removable,display_resolution_inches,screen_to_body_ratio_%,length_mm,width_mm,brand_idx,price_Range
170.0,1,260.0,9.17,True,13.0,2.0,3,3400.0,False,7.0,69.8,191.7,101.0,1,200
250.0,1,169.0,5.96,True,13.0,5.0,3,4080.0,True,5.5,71.7,153.8,75.6,1,250
230.0,1,166.0,5.86,True,13.0,13.0,3,4020.0,True,5.5,69.0,153.3,78.8,1,250
200.0,1,152.6066606544705,4.75924591863177,True,13.0,5.0,3,5000.0,False,5.5,70.3,154.0,77.0,1,200
110.0,1,125.0,4.41,True,8.0,5.0,3,2000.0,True,5.0,66.4,145.7,71.2,1,150
350.0,1,353.8,12.49,False,5.0,2.0,0,4420.0,False,8.0,67.1,217.9,127.0,1,350
220.0,2,150.0,5.29,True,21.0,8.0,1,2870.0,False,5.5,70.2,156.5,75.9,1,250
110.0,1,142.0,5.01,True,5.0,5.0,1,2000.0,True,4.5,61.7,136.0,66.5,1,150
90.0,1,142.0,5.01,True,5.0,2.0,1,2000.0,True,4.5,61.7,136.0,66.5,1,100
200.0,1,165.0,5.82,True,8.0,8.0,3,4000.0,True,5.5,68.8,156.3,77.5,1,200
150.0,1,145.0,5.11,True,8.0,8.0,3,2420.0,True,5.0,68.1,144.0,70.3,1,150
250.0,1,540.0,1.19,True,5.0,2.0,0,5910.0,False,10.1,64.6,260.0,176.0,1,250
180.0,1,355.0,12.52,True,5.0,0.0,0,4550.0,False,8.0,67.9,213.9,127.7,1,200
190.0,1,508.0,1.12,True,5.0,2.0,3,5910.0,False,10.1,67.8,256.5,170.2,1,200
230.0,1,508.0,1.12,True,5.0,2.0,3,5910.0,False,10.1,67.8,256.5,170.2,1,250
200.0,1,110.0,3.88,True,13.0,5.0,3,2300.0,False,5.0,68.8,143.5,69.8,1,200
130.0,1,118.0,4.16,True,8.0,2.0,3,2000.0,True,5.0,57.1,154.0,86.0,1,150
90.0,1,120.0,4.23,True,5.0,2.0,1,1300.0,True,4.0,56.8,125.3,64.0,1,100
80.0,2,119.0,4.2,True,5.0,2.0,1,1300.0,True,4.0,57.0,124.9,64.0,1,100
130.0,1,145.0,5.11,True,5.0,2.0,3,2000.0,True,4.5,61.5,136.0,66.7,1,150
200.0,1,116.0,4.09,True,13.0,5.0,3,2300.0,False,5.0,69.8,143.0,69.0,1,200
150.0,1,150.0,5.29,True,8.0,2.0,3,2000.0,False,5.0,65.1,145.0,73.0,1,150
260.0,1,164.0,5.78,True,13.0,2.0,3,2700.0,True,5.7,72.7,153.3,80.4,1,300
180.0,1,110.0,3.88,True,13.0,2.0,3,2100.0,False,5.0,71.1,140.5,69.0,1,200
200.0,1,155.0,5.47,True,8.0,2.0,3,3500.0,False,5.0,64.1,147.3,73.0,1,200
200.0,1,155.0,5.47,True,8.0,2.0,1,2500.0,False,5.0,65.1,147.0,72.0,1,200
90.0,1,130.0,4.59,True,2.0,0.0,3,1300.0,True,4.0,55.6,126.0,65.0,1,100
200.0,1,360.0,12.7,True,5.0,2.0,2,4600.0,False,8.0,66.4,215.0,130.0,1,200
100.0,1,122.0,4.3,False,5.0,1.3,3,1630.0,True,4.0,57.4,124.0,64.0,1,100
130.0,1,323.0,11.39,True,0.0,0.0,3,2955.0,False,7.0,56.7,199.0,122.3,1,150
100.0,1,315.0,11.11,True,0.0,0.0,5,2955.0,False,7.0,57.1,198.1,121.9,1,100
130.0,1,380.0,13.4,True,5.0,2.0,5,4000.0,False,7.9,68.8,203.0,138.4,1,150
170.0,1,150.0,5.29,True,5.0,0.0,3,2000.0,False,5.0,64.4,145.5,73.5,1,200
340.0,1,229.0,8.08,True,13.0,2.0,1,3300.0,False,6.0,69.0,166.0,86.2,1,350
100.0,1,120.0,4.23,True,3.15,0.0,3,1500.0,True,3.5,55.8,109.0,60.0,1,100
320.0,1,195.0,6.88,True,8.0,2.0,5,2400.0,True,5.7,66.2,163.0,83.0,1,350
190.0,1,560.0,1.23,True,5.0,0.0,5,7300.0,False,10.1,65.0,260.0,175.0,1,200
150.0,1,430.0,15.17,True,5.0,0.0,5,4960.0,False,7.9,63.6,208.7,145.7,1,150
120.0,1,410.0,14.46,True,5.0,0.0,5,4960.0,False,7.9,63.6,208.7,145.7,1,150
180.0,1,140.0,4.94,True,8.0,2.0,5,2000.0,True,4.5,62.7,131.0,68.0,1,200
100.0,1,110.0,4.59,True,3.0,0.0,1,1300.0,True,3.5,53.1,110.0,62.5,1,100
180.0,1,140.0,4.94,True,8.0,0.0,5,2000.0,True,4.3,61.1,127.3,65.5,1,200
170.0,1,130.0,4.59,True,5.0,0.0,12,1760.0,True,4.5,61.7,132.0,68.5,1,200
110.0,1,339.9,11.99,True,0.0,0.0,5,2640.0,False,7.0,53.8,198.1,129.5,1,150
100.0,1,320.0,11.29,True,0.0,0.0,12,2710.0,False,7.0,54.4,197.4,128.5,1,100
150.0,1,390.0,13.76,True,2.0,0.0,6,3420.0,False,7.0,56.5,193.0,126.5,1,150
100.0,1,100.0,3.53,True,3.15,0.0,5,1300.0,True,3.5,53.9,110.0,61.5,1,100
160.0,1,145.0,5.11,True,5.0,0.0,5,1500.0,True,4.3,60.0,129.0,65.9,1,200
140.0,1,145.0,5.11,True,5.0,0.0,5,1500.0,True,4.3,60.0,129.0,65.9,1,150
120.0,1,125.0,4.41,True,5.0,0.0,1,1300.0,True,3.7,56.9,117.0,58.5,1,150
220.0,1,152.6066606544705,4.75924591863177,True,8.0,0.0,1,1460.0,True,4.3,61.0,127.0,65.8,1,250
260.0,1,685.0,1.51,True,2.0,0.0,6,3260.0,False,10.1,65.1,259.1,175.3,1,300
200.0,1,700.0,1.54,True,2.0,0.0,6,3260.0,False,10.1,65.0,260.0,175.0,1,200
380.0,1,667.0,1.47,True,5.0,0.0,6,9800.0,False,10.1,65.1,259.8,175.0,1,400
230.0,1,665.0,1.47,True,5.0,0.0,6,9800.0,False,10.1,65.3,259.0,175.0,1,250
250.0,1,777.0,1.71,True,5.0,1.0,6,9800.0,False,10.1,65.0,260.0,175.0,1,250
230.0,1,680.0,1.5,True,5.0,1.0,6,9800.0,False,10.1,65.1,259.1,175.3,1,250
140.0,2,126.0,4.44,True,5.0,0.0,1,1300.0,True,3.6,53.9,116.0,59.0,1,150
490.0,1,777.0,1.71,True,5.0,2.0,6,3260.0,False,10.1,64.3,260.0,177.0,1,500
220.0,1,185.0,6.53,True,8.0,2.0,1,1500.0,True,4.8,62.5,141.7,64.5,1,250
200.0,1,730.0,1.61,True,5.0,2.0,6,3260.0,False,10.1,64.3,260.0,177.0,1,200
260.0,1,470.0,1.04,True,5.0,2.0,6,1530.0,False,7.0,60.4,195.0,117.0,1,300
100.0,1,450.0,0.99,True,5.0,2.0,6,1530.0,False,7.0,60.4,195.0,117.0,1,100
120.0,1,108.0,3.81,True,5.0,0.0,1,1300.0,True,3.2,48.0,110.4,57.5,1,150
150.0,1,109.0,3.84,True,3.15,0.0,1,1300.0,True,2.6,28.6,116.0,63.0,1,150
110.0,1,95.0,3.35,True,3.15,0.0,1,1300.0,True,2.8,41.6,104.5,55.8,1,150
70.0,1,130.0,4.59,True,3.15,0.0,0,1500.0,True,3.2,44.4,118.5,58.0,1,100
70.0,1,135.0,4.76,True,5.0,0.0,1,1500.0,True,3.6,50.9,115.0,63.0,1,100
90.0,1,109.0,3.84,True,3.15,0.0,0,1500.0,True,2.6,29.1,115.0,62.5,1,100
70.0,1,105.0,3.7,True,3.15,0.0,0,1500.0,True,2.8,43.0,104.5,54.0,1,100
130.0,1,140.0,4.94,True,5.0,0.0,1,1400.0,True,3.7,51.8,119.5,63.0,1,150
